date,female_popultion,male_population,total_population
31/12/1960,13362000,13710397,27072397
31/12/1961,13722335,14087666,27810001
31/12/1962,14089004,14471737,28560741
31/12/1963,14461633,14861076,29322709
31/12/1964,14840107,15253975,30094082
31/12/1965,15224050,15648932,30872982
31/12/1966,15614402,16046512,31660914
31/12/1967,16010319,16446246,32456565
31/12/1968,16407692,16844583,33252275
31/12/1969,16801128,17237019,34038147
31/12/1970,17187479,17621120,34808599
31/12/1971,17565617,17995470,35561087
31/12/1972,17938875,18363279,36302154
31/12/1973,18314232,18732575,37046807
31/12/1974,18701277,19114301,37815578
31/12/1975,19107607,19516803,38624410
31/12/1976,19535192,19943393,39478585
31/12/1977,19984179,20393489,40377668
31/12/1978,20458035,20866771,41324806
31/12/1979,20960235,21361505,42321740
31/12/1980,21492978,21876574,43369552
31/12/1981,22055828,22410090,44465918
31/12/1982,22647390,22963040,45610430
31/12/1983,23267105,23540116,46807221
31/12/1984,23913914,24147632,48061546
31/12/1985,24585263,24788543,49373806
31/12/1986,25282714,25465473,50748187
31/12/1987,26001388,26172452,52173840
31/12/1988,26724430,26893248,53617678
31/12/1989,27429892,27606045,55035937
31/12/1990,28102310,28294963,56397273
31/12/1991,28734915,28954913,57689828
31/12/1992,29332406,29589612,58922018
31/12/1993,29905239,30203134,60108373
31/12/1994,30469700,30803147,61272847
31/12/1995,31038254,31396273,62434527
31/12/1996,31613597,31982032,63595629
31/12/1997,32193650,32560916,64754566
31/12/1998,32780583,33142043,65922626
31/12/1999,33375878,33736999,67112877
31/12/2000,33980766,34354139,68334905
31/12/2001,34599662,35000283,69599945
31/12/2002,35234300,35674410,70908710
31/12/2003,35880034,36367592,72247626
31/12/2004,36529824,37066244,73596068
31/12/2005,37180097,37762018,74942115
31/12/2006,37825860,38448425,76274285
31/12/2007,38472775,39132552,77605327
31/12/2008,39140493,39835629,78976122
31/12/2009,39855576,40586867,80442443
31/12/2010,40635503,41405491,82040994
31/12/2011,41488021,42299613,83787634
31/12/2012,42403053,43257849,85660902
31/12/2013,43358108,44255801,87613909
31/12/2014,44321011,45258659,89579670
31/12/2015,45267664,46240420,91508084
